,author_name,book_title,category,publish_date
0,Victoria Thompson,Murder on St. Mark`s Place,1,2000
1,Stieg Larsson,The Girl with the Dragon Tattoo,1,2005
2,Mimi Jean Pamfiloff,Tailored for Trouble,1,2016
3,José Donoso,The Obscene Bird of Night,1,1970
4,Patricia C. Wrede,Sorcery & Cecelia: or The Enchanted Chocolate Pot,1,1988
5,Steve Niles,"30 Days of Night, Vol. 1",1,2004
6,Jillian Dodd,Stalk Me,1,2012
7,Mary Roach,Bonk: The Curious Coupling of Science and Sex,1,2008
8,Nancy Baker,Kiss of the Vampire,1,1993
9,Simone Elkeles,Leaving Paradise,1,2007
10,Brandon Sanderson,Firefight,1,2015
11,K.L. Armstrong,Loki`s Wolves,1,2013
12,Lisa Kleypas,Devil in Winter,1,2006
13,Suzanne Collins,Mockingjay,1,2010
14,Aldous Huxley,Island,1,1962
15,Sandrine Gasq-Dion,Dirty Ross,1,2014
16,Jamie Fessenden,Screwups,1,2014
17,Zarah Detand,Pull Me Under,1,2014
18,Kendall McKenna,Strength of the Mate,1,2014
19,Rhys Ford,Tequila Mockingbird,1,2014
20,Megan Derr,Of Last Resort,1,2013
21,Sam B. Morgan,Slow Burn,1,2014
22,Adrienne Wilder,Complementary Colors,1,2014
23,Kate Sherwood,Mark of Cain,1,2014
24,Piper Vaughn,"Wood, Screws, & Nails",1,2014
25,Nick Pageant,Beauty And The Bookworm,1,2014
26,K.A. Mitchell,Bad Influence,1,2014
27,Sarina Bowen,The Understatement of the Year,1,2014
28,Cat Grant,The Only One Who Knows,1,2014
29,L.A. Witt,Payoff,1,2014
30,Amy Rae Durreson,Reawakening,1,2014
31,K.C. Wells,Personal Secrets,1,2014
32,Indra Vaughn,The House on Hancock Hill,1,2014
33,Rob Colton,Timber Pack Chronicles,1,2011
34,K.J. Charles,Remnant: A Caldwell & Feximal/Whyborne & Griffin Mystery,1,2014
35,Leta Blake,The River Leith,1,2014
36,Perie Wolford,Turning 16,1,2014
37,Heidi Cullinan,Tough Love,1,2014
38,Veronica Sloane,Stories Beneath Our Skin,1,2014
39,Amy Lane,Beneath the Stain,1,2014
40,Josh Lanyon,Fair Play,1,2014
41,Ais,1/27: An ICoS Anthology,1,2014
42,Tara Lain,Wolf in Gucci Loafers,1,2014
43,Jordan L. Hawk,Bloodline,1,2014
44,Nicola Haken,Being Sawyer Knight,1,2014
45,Alexa Land,Salvation,1,2014
46,Charlie Cochet,Rack & Ruin,1,2014
47,Mary Calmes,Control,1,2014
48,Diane  Adams,Last First Kiss,1,2014
49,Jaime Reese,A Hunted Man,1,2014
50,Keira Andrews,A Forbidden Rumspringa,1,2014
51,Jay Northcote,Not Just Friends,1,2014
52,Lane Hayes,Better Than Chance,1,2014
53,Renae Kaye,The Shearing Gun,1,2014
54,Garrett Leigh,Only Love,1,2014
55,John  Wiltshire,Love is a Stranger,1,2014
56,N.R. Walker,Red Dirt Heart 2,1,2014
57,S.E. Harmon,Stay with Me,1,2014
58,A.E. Via,Nothing Special,1,2014
59,Jay Bell,Something Like Spring,1,2014
60,Jordan Castillo Price,Forget Me Not,1,2014
61,Nicole Edwards,Ethan,1,2014
62,A.J.  Rose,Queers,1,2014
63,Mercy Celeste,Offside Chance,1,2014
64,J.L. Merrow,Relief Valve,1,2014
65,Eli Easton,The Mating of Michael,1,2014
66,Anyta Sunday,rock,1,2014
67,Amelia C. Gormley,Strain,1,2014
68,Lisa Henry,When All the World Sleeps,1,2014
69,Kade Boehme,Trouble & the Wallflower,1,2014
70,Joanna Chambers,Enlightened,1,2014
71,Nick Wilgus,Shaking the Sugar Tree,1,2014
72,S.E. Jakes,Daylight Again,1,2014
73,Kindle Alexander,Full Disclosure,1,2014
74,T.J. Klune,The Art of Breathing,1,2014
75,Ella Frank,Take,1,2014
76,Abigail Roux,Ball & Chain,1,2014
77,Maria V. Snyder,Inside Out,1,2010
78,Sheri S. Tepper,The Gate to Women`s Country,1,1987
79,Eoin Colfer,The Supernaturalist,1,2004
80,Robert A. Heinlein,Stranger in a Strange Land,1,1961
81,Paolo Bacigalupi,Ship Breaker,1,2010
82,William F. Nolan,Logan`s Run,1,1967
83,Kurt Vonnegut,Player Piano,1,1952
84,Larry Niven,Lucifer`s Hammer,1,1977
85,George R. Stewart,Earth Abides,1,1949
86,Pierre Boulle,Planet of the Apes,1,1963
87,Stephen King,Cell,1,2006
88,Philip K. Dick,A Scanner Darkly,1,1977
89,Jasper Fforde,Shades of Grey,1,2009
90,Neal Stephenson,"The Diamond Age: Or, A Young Lady`s Illustrated Primer",1,1995
91,Alexandra Bracken,The Darkest Minds,1,2012
92,Pierce Brown,Red Rising,1,2014
93,Richard Bachman,The Running Man,1,1982
94,Ray Bradbury,The Martian Chronicles,1,1950
95,Joe Haldeman,The Forever War,1,1974
96,Robert R. McCammon,Swan Song,1,1987
97,Nevil Shute,On the Beach,1,1957
98,David Brin,The Postman,1,1985
99,Emily St. John Mandel,Station Eleven,1,2014
100,Pat Frank,"Alas, Babylon",1,1959
101,John Wyndham,The Chrysalids,1,1955
102,Thomas More,Utopia,1,1516
103,Ann Aguirre,Enclave,1,2011
104,Octavia E. Butler,Parable of the Sower,1,1993
105,M.T. Anderson,Feed,1,2002
106,Ursula K. Le Guin,The Dispossessed,1,1974
107,Franz Kafka,The Trial,1,1925
108,Beth Revis,Across the Universe,1,2011
109,Nancy Farmer,The House of the Scorpion,1,2002
110,Ayn Rand,Atlas Shrugged,1,1957
111,P.D. James,The Children of Men,1,1992
112,William Gibson,Neuromancer,1,1984
113,Walter M. Miller Jr.,A Canticle for Leibowitz,1,1959
114,José Saramago,Blindness,1,1995
115,Yevgeny Zamyatin,We,1,1921
116,Kiera Cass,The Selection,1,2012
117,Susan Beth Pfeffer,Life As We Knew It,1,2006
